sale_id,sale_date,city,category,product,quantity,unit_price,total_amount
36,2025-02-03,Pune,Grocery,Oil,5,4820,24100
37,2025-04-15,Bangalore,Grocery,Oil,2,872,1744
38,2025-04-19,Mumbai,Electronics,Tablet,4,3925,15700
39,2025-04-14,Lucknow,Electronics,Laptop,3,995,2985
40,2025-05-18,Delhi,Clothing,Jeans,4,1248,4992
41,2025-04-29,Mumbai,Grocery,Oil,2,717,1434
42,2025-05-19,Lucknow,Grocery,Rice,1,864,864
43,2025-05-05,Bangalore,Clothing,Jeans,4,1851,7404
44,2025-04-08,Delhi,Grocery,Rice,1,3298,3298
45,2025-04-19,Mumbai,Furniture,Shelf,5,4086,20430
46,2025-02-25,Mumbai,Clothing,Jeans,1,4844,4844
47,2025-03-22,Kolkata,Books,Novel,1,510,510
48,2025-05-16,Pune,Books,Biography,2,565,1130
49,2025-01-18,Delhi,Books,Novel,5,656,3280
50,2025-05-26,Lucknow,Clothing,T-shirt,2,4842,9684
51,2025-01-21,Pune,Books,Novel,4,4881,19524
52,2025-02-22,Mumbai,Books,Comics,3,2055,6165
53,2025-03-18,Delhi,Furniture,Shelf,4,2690,10760
54,2025-05-25,Bangalore,Electronics,Laptop,1,700,700
55,2025-03-09,Pune,Books,Notebook,2,2959,5918
56,2025-03-14,Mumbai,Electronics,Phone,2,3689,7378
57,2025-05-16,Pune,Books,Comics,1,4643,4643
58,2025-03-09,Delhi,Furniture,Chair,1,976,976
59,2025-03-14,Mumbai,Books,Notebook,5,1825,9125
60,2025-03-09,Kolkata,Furniture,Table,5,4102,20510
61,2025-04-19,Lucknow,Furniture,Chair,3,461,1383
62,2025-03-09,Delhi,Electronics,Headphones,2,3719,7438
63,2025-01-03,Pune,Books,Biography,1,716,716
64,2025-05-30,Mumbai,Clothing,Shirt,5,1313,6565
65,2025-03-20,Lucknow,Grocery,Oil,3,426,1278
66,2025-03-05,Kolkata,Furniture,Table,1,2997,2997
67,2025-02-09,Pune,Books,Biography,2,1431,2862
68,2025-02-15,Lucknow,Clothing,T-shirt,3,3472,10416
69,2025-01-28,Delhi,Clothing,Jacket,4,417,1668
70,2025-04-28,Delhi,Grocery,Oil,3,2600,7800
71,2025-02-19,Lucknow,Clothing,Jeans,4,2789,11156
72,2025-03-31,Mumbai,Furniture,Chair,5,3374,16870
73,2025-01-30,Lucknow,Books,Comics,3,1562,4686
74,2025-01-28,Lucknow,Books,Comics,5,3659,18295
75,2025-05-11,Bangalore,Furniture,Sofa,1,3255,3255
76,2025-01-12,Mumbai,Books,Notebook,4,113,452
77,2025-04-21,Mumbai,Books,Notebook,1,2804,2804
78,2025-02-01,Kolkata,Books,Comics,3,4254,12762
79,2025-04-14,Mumbai,Furniture,Shelf,3,4641,13923
80,2025-04-08,Bangalore,Clothing,Jeans,2,4762,9524
81,2025-01-01,Pune,Furniture,Shelf,3,2450,7350
82,2025-03-24,Pune,Clothing,T-shirt,4,3719,14876
83,2025-05-02,Pune,Grocery,Oil,2,794,1588
84,2025-03-02,Lucknow,Furniture,Sofa,3,1940,5820
85,2025-01-12,Lucknow,Clothing,Jeans,2,3992,7984
86,2025-04-17,Bangalore,Books,Novel,5,1692,8460
87,2025-03-04,Bangalore,Grocery,Milk,2,145,290
88,2025-02-15,Delhi,Electronics,Tablet,5,3905,19525
89,2025-04-27,Lucknow,Electronics,Phone,2,3906,7812
90,2025-05-10,Bangalore,Books,Comics,4,4588,18352
91,2025-05-02,Kolkata,Grocery,Oil,4,2223,8892
92,2025-05-05,Pune,Clothing,Jacket,2,2349,4698
93,2025-03-15,Kolkata,Grocery,Rice,2,2325,4650
94,2025-01-21,Pune,Furniture,Sofa,2,1335,2670
95,2025-02-09,Kolkata,Clothing,T-shirt,2,626,1252
96,2025-05-19,Mumbai,Grocery,Milk,4,3506,14024
97,2025-04-10,Bangalore,Electronics,Phone,5,260,1300
98,2025-01-02,Bangalore,Books,Biography,3,2546,7638
99,2025-05-20,Pune,Grocery,Milk,5,1906,9530
100,2025-04-22,Mumbai,Grocery,Oil,4,337,1348
